,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
60,0.5058286984761556,0.016905398085579684,0.05571118990580241,0.005905382306070257,166.81005372000593,,100,liblinear,"{'clf__C': 166.81005372000593, 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.8168016945598306,0.8247566229076663,0.8353579543066388,0.8256387572580453,0.007601197919049445,16
48,0.3771847089131673,0.008226411288461263,0.05268716812133789,0.0011360053777222608,5.994842503189409,,100,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.8193003992071743,0.8223629783792559,0.8351070057942023,0.8255901277935441,0.006844612136850153,19
50,0.3699444929758708,0.005050550478573514,0.055740753809611,0.005461358978922123,5.994842503189409,,200,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.8193003992071743,0.8223629783792559,0.8351070057942023,0.8255901277935441,0.006844612136850153,19
52,0.37621299425760907,0.004897770851755576,0.05730168024698893,0.005265260984695404,5.994842503189409,,500,liblinear,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.8193003992071743,0.8223629783792559,0.8351070057942023,0.8255901277935441,0.006844612136850153,19
51,4.6513815720876055,0.6001793140960625,0.12238200505574544,0.02292725075235818,5.994842503189409,,200,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'lbfgs'}",0.8136410485610199,0.8254489671202367,0.8339608957781124,0.8243503038197897,0.008331840273605303,22
53,5.088905016581218,0.3735164663951029,0.12911653518676758,0.028067652557052607,5.994842503189409,,500,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}",0.8136410485610199,0.8254489671202367,0.8339608957781124,0.8243503038197897,0.008331840273605303,22
49,5.016404469807942,1.4140856423312875,0.13271164894104004,0.00453127391696965,5.994842503189409,,100,lbfgs,"{'clf__C': 5.994842503189409, 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'lbfgs'}",0.8136410485610199,0.8254489671202367,0.8339608957781124,0.8243503038197897,0.008331840273605303,22
73,3.317917505900065,1.3900151741494646,0.12057018280029297,0.018241966366117263,4641.588833612773,,100,lbfgs,"{'clf__C': 4641.588833612773, 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'lbfgs'}",0.8165146088004804,0.823291269726492,0.8281595584731211,0.8226551456666978,0.00477526289567182,25
75,3.235303004582723,0.8601617331895371,0.13157033920288086,0.009491527328706723,4641.588833612773,,200,lbfgs,"{'clf__C': 4641.588833612773, 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'lbfgs'}",0.8165146088004804,0.823291269726492,0.8281595584731211,0.8226551456666978,0.00477526289567182,25
77,3.412198225657145,0.5734468865755656,0.12866385777791342,0.028406609080043742,4641.588833612773,,500,lbfgs,"{'clf__C': 4641.588833612773, 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'lbfgs'}",0.8165146088004804,0.823291269726492,0.8281595584731211,0.8226551456666978,0.00477526289567182,25
78,0.5675960381825765,0.0014967133056612563,0.05105773607889811,0.00016017285145861082,4641.588833612773,balanced,100,liblinear,"{'clf__C': 4641.588833612773, 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.81244094757506,0.8232223190438196,0.8292316594229239,0.8216316420139345,0.006946447108632917,28
80,0.5723035335540771,0.007029656834390215,0.05171632766723633,0.0004907372959282668,4641.588833612773,balanced,200,liblinear,"{'clf__C': 4641.588833612773, 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.81244094757506,0.8232223190438196,0.8292316594229239,0.8216316420139345,0.006946447108632917,28
