,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30,0.09484187761942546,0.0003855834293536425,0.04877781867980957,0.003793747196804754,1.188888888888889,False,True,"{'clf__alpha': 1.188888888888889, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7564422387161682,0.7565012423322308,0.7673014782980649,0.760081653115488,0.005105244173521074,17
31,0.09850303332010905,0.004216850810389321,0.04869341850280762,0.0018576726675379259,1.188888888888889,False,False,"{'clf__alpha': 1.188888888888889, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7564422387161682,0.7565012423322308,0.7673014782980649,0.760081653115488,0.005105244173521074,17
34,0.09654664993286133,0.001970706835759157,0.04829947153727213,0.001016487396294728,1.3444444444444446,False,True,"{'clf__alpha': 1.3444444444444446, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.743810526574058,0.7430820572581789,0.7599514989311504,0.7489480275877959,0.007786310769081201,19
35,0.10001222292582194,0.006144474128208907,0.046985626220703125,0.0014584826776952908,1.3444444444444446,False,False,"{'clf__alpha': 1.3444444444444446, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.743810526574058,0.7430820572581789,0.7599514989311504,0.7489480275877959,0.007786310769081201,19
38,0.17686708768208823,0.06741868322757191,0.08200009663899739,0.026441604100586116,1.5,False,True,"{'clf__alpha': 1.5, 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7355634902513668,0.7331860274193941,0.755925999896182,0.7415585058556475,0.01020561107538222,21
39,0.237164576848348,0.03189838012418506,0.11071586608886719,0.006275363087069045,1.5,False,False,"{'clf__alpha': 1.5, 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7355634902513668,0.7331860274193941,0.755925999896182,0.7415585058556475,0.01020561107538222,21
4,0.0977648099263509,0.004826477518049807,0.048541625340779625,0.0019449458145330378,0.25555555555555554,True,True,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.7105242702670087,0.7096966903140323,0.7451700241612675,0.7217969949141029,0.01653068045153727,23
5,0.09847458203633626,0.005368134978120084,0.04747645060221354,0.0015783727023468022,0.25555555555555554,True,False,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.7105242702670087,0.7096966903140323,0.7451700241612675,0.7217969949141029,0.01653068045153727,23
9,0.09595259030659993,0.0033886477314930565,0.04657737414042155,0.0010796314659754142,0.4111111111111111,True,False,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.6478922024651337,0.6445132448922162,0.6828216843446435,0.6584090439006645,0.01731737275407071,25
8,0.09547924995422363,0.003048201795129493,0.04721601804097494,0.0015675849796767368,0.4111111111111111,True,True,"{'clf__alpha': 0.4111111111111111, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.6478922024651337,0.6445132448922162,0.6828216843446435,0.6584090439006645,0.01731737275407071,25
12,0.09933161735534668,0.007316689351055362,0.045628627141316734,0.0010429273552320791,0.5666666666666667,True,True,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.6046623419993563,0.5874308258198268,0.6276251836921236,0.6065727838371022,0.016464789546243332,27
13,0.09405048688252766,0.0020923690237688508,0.04721728960673014,0.0017764909088629416,0.5666666666666667,True,False,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.6046623419993563,0.5874308258198268,0.6276251836921236,0.6065727838371022,0.016464789546243332,27
16,0.09720698992411296,0.00408602004937094,0.04672694206237793,0.0011521367269138726,0.7222222222222222,True,True,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.573150343606452,0.5558479723818629,0.582410398240637,0.5704695714096506,0.011008497371094002,29
17,0.09897549947102864,0.006762020341090379,0.04765446980794271,0.0014537425704302669,0.7222222222222222,True,False,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.573150343606452,0.5558479723818629,0.582410398240637,0.5704695714096506,0.011008497371094002,29
21,0.10024094581604004,0.005457355178403896,0.04676349957784017,0.0014287548715303277,0.8777777777777778,True,False,"{'clf__alpha': 0.8777777777777778, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.5423240664173363,0.5217830182928516,0.5561775552974368,0.5400948800025416,0.014129708607372284,31
20,0.10134108861287434,0.002841886552847586,0.04897165298461914,0.003315980745267849,0.8777777777777778,True,True,"{'clf__alpha': 0.8777777777777778, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.5423240664173363,0.5217830182928516,0.5561775552974368,0.5400948800025416,0.014129708607372284,31
25,0.1660648981730143,0.0023833099133909433,0.08418655395507812,0.006168611660691005,1.0333333333333334,True,False,"{'clf__alpha': 1.0333333333333334, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.5123745929940943,0.4828752606741743,0.5309890271499288,0.5087462936060657,0.019809207429168474,33
24,0.16129263242085776,0.0003495051745981268,0.07928236325581868,0.0013378789730463892,1.0333333333333334,True,True,"{'clf__alpha': 1.0333333333333334, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.5123745929940943,0.4828752606741743,0.5309890271499288,0.5087462936060657,0.019809207429168474,33
29,0.09660100936889648,0.0033334906509434607,0.04814418156941732,0.001466946516679954,1.188888888888889,True,False,"{'clf__alpha': 1.188888888888889, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.48640987618180215,0.46349534793145847,0.4993910370209238,0.4830987537113948,0.014840210528884406,35
28,0.0976399580637614,0.0065706080471994955,0.047073761622111,0.001925373444400301,1.188888888888889,True,True,"{'clf__alpha': 1.188888888888889, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.48640987618180215,0.46349534793145847,0.4993910370209238,0.4830987537113948,0.014840210528884406,35
32,0.09603587786356609,0.003105280537791819,0.047200918197631836,0.00013354221690092566,1.3444444444444446,True,True,"{'clf__alpha': 1.3444444444444446, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.47018801065579074,0.4434036025531144,0.4814170192438417,0.46500287748424896,0.015946141991731295,37
33,0.10084780057271321,0.003000741770073921,0.049477577209472656,0.0014863988413829814,1.3444444444444446,True,False,"{'clf__alpha': 1.3444444444444446, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.47018801065579074,0.4434036025531144,0.4814170192438417,0.46500287748424896,0.015946141991731295,37
36,0.09775773684183757,0.001025378306583477,0.04756927490234375,0.00045949072850375147,1.5,True,True,"{'clf__alpha': 1.5, 'clf__fit_prior': True, 'clf__force_alpha': True}",0.45148130840010303,0.42904606607098783,0.45699611722977296,0.44584116390028794,0.012087452514316165,39
37,0.09902636210123698,0.0056808136158197345,0.0457460880279541,0.0007269032021458764,1.5,True,False,"{'clf__alpha': 1.5, 'clf__fit_prior': True, 'clf__force_alpha': False}",0.45148130840010303,0.42904606607098783,0.45699611722977296,0.44584116390028794,0.012087452514316165,39
