,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,param_tfidf__binary,param_tfidf__lowercase,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
145,0.02846391995747884,0.00023575827099238706,0.012484153111775717,0.00029361512333144033,0.25555555555555554,False,True,True,True,"(1, 1)",english,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.889103412624439,0.8291666666666666,0.8565785167477732,0.858282865346293,0.024498734417796562,23
169,0.028012514114379883,0.00014332757838098607,0.012369871139526367,0.00030867813212098673,0.25555555555555554,False,False,True,True,"(1, 1)",english,"{'clf__alpha': 0.25555555555555554, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.889103412624439,0.8291666666666666,0.8565785167477732,0.858282865346293,0.024498734417796562,23
733,0.028831084569295246,0.001257143922468656,0.012154817581176758,0.00022780675860389562,1.188888888888889,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 1.188888888888889, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8879457985233454,0.8578295753711735,0.029354173540489824,25
661,0.02793097496032715,0.0006435851828649912,0.012461582819620768,0.0003712477818516436,1.0333333333333334,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 1.0333333333333334, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8879457985233454,0.8578295753711735,0.029354173540489824,25
757,0.02809755007425944,0.0004460618273565463,0.01236430803934733,0.00023414163852605112,1.188888888888889,False,False,False,True,"(1, 1)",english,"{'clf__alpha': 1.188888888888889, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8879457985233454,0.8578295753711735,0.029354173540489824,25
355,0.02880708376566569,0.0005736871670011556,0.01474912961324056,0.003440257940314192,0.5666666666666667,False,True,False,False,"(1, 1)",english,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8879457985233454,0.8578295753711735,0.029354173540489824,25
379,0.029140710830688477,0.0007196878233177699,0.012440363566080729,0.00012287763479221505,0.5666666666666667,False,False,False,False,"(1, 1)",english,"{'clf__alpha': 0.5666666666666667, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': False, 'tfidf__lowercase': False, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8879457985233454,0.8578295753711735,0.029354173540489824,25
637,0.028445005416870117,0.00037338425061772274,0.01260685920715332,0.0002482005734316999,1.0333333333333334,False,True,False,True,"(1, 1)",english,"{'clf__alpha': 1.0333333333333334, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': False, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8675153738267343,0.8180275537634408,0.8879457985233454,0.8578295753711735,0.029354173540489824,25
625,0.04863452911376953,0.0023185672811064473,0.021723826726277668,0.0009527687369383814,1.0333333333333334,False,True,True,True,"(1, 1)",english,"{'clf__alpha': 1.0333333333333334, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8551560758082497,0.8241589267285861,0.8879457985233454,0.8557536003533938,0.026044308783645376,31
649,0.028290828069051106,0.00020646005804322918,0.01343830426534017,0.0012296440830303372,1.0333333333333334,False,False,True,True,"(1, 1)",english,"{'clf__alpha': 1.0333333333333334, 'clf__fit_prior': False, 'clf__force_alpha': False, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8551560758082497,0.8241589267285861,0.8879457985233454,0.8557536003533938,0.026044308783645376,31
433,0.027750253677368164,0.0003628784033927102,0.012156248092651367,0.00012730674022820123,0.7222222222222222,False,True,True,True,"(1, 1)",english,"{'clf__alpha': 0.7222222222222222, 'clf__fit_prior': False, 'clf__force_alpha': True, 'tfidf__binary': True, 'tfidf__lowercase': True, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8551560758082497,0.8370123068866195,0.873572261072261,0.85524688125571,0.01492567690784392,33
