,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21,0.17218613624572754,0.0023282064143630996,0.08236734072367351,0.001818615000046654,balanced,3.727593720314938,"{'clf__class_weight': 'balanced', 'clf__tol': 3.727593720314938}",0.6715170581349353,0.6692450818156721,0.6735406441253552,0.6714342613586542,0.0017546329851214632,13
24,0.09915367762247722,0.0012557741466993847,0.045671939849853516,0.0005508449943265399,balanced,2275.845926074791,"{'clf__class_weight': 'balanced', 'clf__tol': 2275.845926074791}",0.6995855473319459,0.630689806947352,0.668284509389706,0.6661866212230012,0.02816566008286616,14
9,0.10195175806681316,0.005184121922469565,0.047471841176350914,0.0025275980593429666,,2275.845926074791,"{'clf__class_weight': None, 'clf__tol': 2275.845926074791}",0.6436102067350311,0.6618775838541596,0.6611087628899048,0.6555321844930319,0.008435952294217402,15
6,0.09853442509969075,0.000688444572580387,0.04551561673482259,0.0010967052556908154,,3.727593720314938,"{'clf__class_weight': None, 'clf__tol': 3.727593720314938}",0.6594960567866132,0.6215114930672986,0.6665618088671772,0.6491897862403629,0.019782941268452748,16
25,0.103759765625,0.006352550588573996,0.04732211430867513,0.0003146617259183747,balanced,19306.977288832535,"{'clf__class_weight': 'balanced', 'clf__tol': 19306.977288832535}",0.7080504645721146,0.6030627045186984,0.6253681747594065,0.6454937812834065,0.04516183837952554,17
11,0.0979467233022054,0.0007292391844288337,0.04601788520812988,0.0011141236170562902,,163789.3706954068,"{'clf__class_weight': None, 'clf__tol': 163789.3706954068}",0.6602081717734368,0.6618209214831002,0.6102929370915463,0.644107343449361,0.023919459280469742,18
8,0.09949191411336263,0.001971597201827593,0.0459893544514974,0.0009349502088308844,,268.2695795279727,"{'clf__class_weight': None, 'clf__tol': 268.2695795279727}",0.6292146762064554,0.6266602235789543,0.670800150210075,0.6422250166651615,0.02023256450854683,19
14,0.10235683123270671,0.005661136283859501,0.04698816935221354,0.00232424075196559,,100000000.0,"{'clf__class_weight': None, 'clf__tol': 100000000.0}",0.6702231743368993,0.6369853604548569,0.6186407695450385,0.6419497681122649,0.0213490066680637,20
13,0.09973835945129395,0.0022236635180715404,0.04553071657816569,0.00042942093236483764,,11787686.347935867,"{'clf__class_weight': None, 'clf__tol': 11787686.347935867}",0.669088841146535,0.5751571791539761,0.6740434862137711,0.6394298355047607,0.04549262132643133,21
29,0.09733168284098308,0.0005376122151467653,0.045507192611694336,0.000968002352732853,balanced,100000000.0,"{'clf__class_weight': 'balanced', 'clf__tol': 100000000.0}",0.5874044580791508,0.6451190179031149,0.6784465326709297,0.6369900028843984,0.037609621999116556,22
12,0.10103940963745117,0.004076567862650273,0.04548255602518717,0.001420986470089358,,1389495.494373136,"{'clf__class_weight': None, 'clf__tol': 1389495.494373136}",0.7043564337899847,0.6519109405765858,0.5524618021287196,0.6362430588317634,0.06299262745568009,23
27,0.10435684521993001,0.0056738666321154594,0.04650052388509115,0.0003084465263719848,balanced,1389495.494373136,"{'clf__class_weight': 'balanced', 'clf__tol': 1389495.494373136}",0.6754077712831349,0.5982517473453777,0.6185993977412584,0.6307529721232569,0.03265011521332424,24
26,0.10393047332763672,0.0020578195903718684,0.04703474044799805,0.0015819259516445148,balanced,163789.3706954068,"{'clf__class_weight': 'balanced', 'clf__tol': 163789.3706954068}",0.6355302826329693,0.6389600213404539,0.5992315195833552,0.6245739411855928,0.017974417494494306,25
23,0.10509562492370605,0.007033700209493813,0.04906996091206869,0.002430791805654841,balanced,268.2695795279727,"{'clf__class_weight': 'balanced', 'clf__tol': 268.2695795279727}",0.6636769213800658,0.5541871168323343,0.6330426857753796,0.6169689079959265,0.04612142722605578,26
10,0.09816201527913411,0.0022287297729350294,0.04570436477661133,0.0017323225983376627,,19306.977288832535,"{'clf__class_weight': None, 'clf__tol': 19306.977288832535}",0.6782172370416717,0.5838289175678695,0.5882103602055755,0.6167521716050389,0.04349915678680099,27
7,0.10249829292297363,0.0057765040252231855,0.04585115114847819,0.0013128978432377272,,31.622776601683793,"{'clf__class_weight': None, 'clf__tol': 31.622776601683793}",0.6238299343879803,0.6521725835313519,0.5436967054432262,0.6065664077875195,0.0459367394341471,28
28,0.10071492195129395,0.00018188894906956047,0.04694827397664388,0.0011659867754389758,balanced,11787686.347935867,"{'clf__class_weight': 'balanced', 'clf__tol': 11787686.347935867}",0.664331825548503,0.6001976061358825,0.5076818855440011,0.5907371057427956,0.06430099390947346,29
22,0.17556206385294595,0.004794352804081851,0.0725259780883789,0.012074053827982661,balanced,31.622776601683793,"{'clf__class_weight': 'balanced', 'clf__tol': 31.622776601683793}",0.5241097192656253,0.5436250510950491,0.5735686864202288,0.5471011522603012,0.020340596803491894,30
