,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
88,0.46901194254557294,0.008153318296689253,0.05346385637919108,0.007207050446586878,129154.96650148826,,500,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7920338689350469,0.8143079357641507,0.82129528471959,0.8092123631395959,0.012477479946101877,43
86,0.49754540125528973,0.014504075383425987,0.04564372698465983,0.004388556359896006,129154.96650148826,,200,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7920338689350469,0.8143079357641507,0.82129528471959,0.8092123631395959,0.012477479946101877,43
84,0.3763113021850586,0.034466198220108595,0.042863925298055015,0.012153872220715038,129154.96650148826,,100,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7920338689350469,0.8143079357641507,0.82129528471959,0.8092123631395959,0.012477479946101877,43
98,0.5545891125996908,0.016343262491150087,0.054725964864095054,0.014780128946407445,3593813.6638046256,,200,liblinear,"{'clf__C': np.float64(3593813.6638046256), 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7941888444579928,0.8128055458622486,0.8201361334351911,0.8090435079184775,0.01092184808642261,46
100,0.5088493824005127,0.0037097761491700844,0.052518606185913086,0.00374032208225993,3593813.6638046256,,500,liblinear,"{'clf__C': np.float64(3593813.6638046256), 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7941888444579928,0.8128055458622486,0.8201361334351911,0.8090435079184775,0.01092184808642261,46
96,0.49059009552001953,0.01668232266464246,0.05030973752339681,0.0032480446260175493,3593813.6638046256,,100,liblinear,"{'clf__C': np.float64(3593813.6638046256), 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7941888444579928,0.8128055458622486,0.8201361334351911,0.8090435079184775,0.01092184808642261,46
108,0.4967486063639323,0.011413520710462746,0.05167031288146973,0.006273137177019331,100000000.0,,100,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7941888444579928,0.8128055458622486,0.8201313381060482,0.8090419094754298,0.010920224762918544,49
110,0.4993131160736084,0.011264043116306249,0.04913449287414551,0.0023865601399359017,100000000.0,,200,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7941888444579928,0.8128055458622486,0.8201313381060482,0.8090419094754298,0.010920224762918544,49
112,0.5084029833475748,0.027145242120477323,0.049262285232543945,0.005330531037627356,100000000.0,,500,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7941888444579928,0.8128055458622486,0.8201313381060482,0.8090419094754298,0.010920224762918544,49
79,0.7865575949350992,0.043405320744198304,0.04213984807332357,0.004978426247006644,4641.588833612773,balanced,100,lbfgs,"{'clf__C': np.float64(4641.588833612773), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'lbfgs'}",0.7888179470483729,0.8158147297766227,0.8208256437855462,0.8084861068701806,0.014057138112796037,52
