,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_clf__fit_prior,param_clf__force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
23,0.06841739018758138,0.00838817820990532,0.03119516372680664,0.0006676950795421928,0.8777777777777778,False,False,"{'clf__alpha': np.float64(0.8777777777777778), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7623593824422534,0.7666378841648049,0.7736293660501767,0.767542210885745,0.004645175830498397,13
22,0.07487853368123372,0.003574251725489375,0.026687224706013996,0.0032206311099335122,0.8777777777777778,False,True,"{'clf__alpha': np.float64(0.8777777777777778), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7623593824422534,0.7666378841648049,0.7736293660501767,0.767542210885745,0.004645175830498397,13
26,0.07716838518778484,0.0033847938540460115,0.033097267150878906,0.00906937601789961,1.0333333333333334,False,True,"{'clf__alpha': np.float64(1.0333333333333334), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7534457703871162,0.7596303587914345,0.769983681931395,0.7610199370366487,0.006822698651622454,15
27,0.06772232055664062,0.007725621843261135,0.031270106633504234,1.8603100975252947e-05,1.0333333333333334,False,False,"{'clf__alpha': np.float64(1.0333333333333334), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7534457703871162,0.7596303587914345,0.769983681931395,0.7610199370366487,0.006822698651622454,15
31,0.06292080879211426,8.168542023860248e-05,0.03651865323384603,0.007320818654954257,1.188888888888889,False,False,"{'clf__alpha': np.float64(1.188888888888889), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7435924022624554,0.7562732461530381,0.7580764048697748,0.7526473510950895,0.006444993876937952,17
30,0.06858197848002116,0.006944777774842458,0.030732075373331707,0.0007245445123567382,1.188888888888889,False,True,"{'clf__alpha': np.float64(1.188888888888889), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7435924022624554,0.7562732461530381,0.7580764048697748,0.7526473510950895,0.006444993876937952,17
35,0.06295712788899739,5.145473354653025e-05,0.041883389155069985,0.00752865436862537,1.3444444444444446,False,False,"{'clf__alpha': np.float64(1.3444444444444446), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7356281696732885,0.7489844948316318,0.7486303232036078,0.744414329236176,0.00621443530735305,19
34,0.06359481811523438,0.0011767132647848286,0.03584392865498861,0.006524789568215557,1.3444444444444446,False,True,"{'clf__alpha': np.float64(1.3444444444444446), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7356281696732885,0.7489844948316318,0.7486303232036078,0.744414329236176,0.00621443530735305,19
38,0.06384658813476562,0.0010501104026849587,0.031140247980753582,0.0003199777685311232,1.5,False,True,"{'clf__alpha': np.float64(1.5), 'clf__fit_prior': False, 'clf__force_alpha': True}",0.7321235879779666,0.7464425864222946,0.7370194137599058,0.7385285293867222,0.005942306039100359,21
39,0.06228431065877279,0.0009986794942692043,0.03140028317769369,0.00020045320789700228,1.5,False,False,"{'clf__alpha': np.float64(1.5), 'clf__fit_prior': False, 'clf__force_alpha': False}",0.7321235879779666,0.7464425864222946,0.7370194137599058,0.7385285293867222,0.005942306039100359,21
4,0.06596493721008301,0.0023919616814188226,0.03421592712402344,0.004754045100436696,0.25555555555555554,True,True,"{'clf__alpha': np.float64(0.25555555555555554), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.6922697909875442,0.713497042065119,0.7074343615514522,0.7044003982013717,0.00892758822545126,23
5,0.06305360794067383,0.0013737059916583965,0.030970414479573567,0.0009231750122057778,0.25555555555555554,True,False,"{'clf__alpha': np.float64(0.25555555555555554), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.6922697909875442,0.713497042065119,0.7074343615514522,0.7044003982013717,0.00892758822545126,23
8,0.06434448560078938,0.0021558610224127472,0.030002037684122723,0.0019913835696476084,0.4111111111111111,True,True,"{'clf__alpha': np.float64(0.4111111111111111), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.6342105251146808,0.6479876859229824,0.6515700800695754,0.6445894303690795,0.007483298856575008,25
9,0.059559265772501625,0.0073424561402664346,0.03510125478108724,0.007318744237920567,0.4111111111111111,True,False,"{'clf__alpha': np.float64(0.4111111111111111), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.6342105251146808,0.6479876859229824,0.6515700800695754,0.6445894303690795,0.007483298856575008,25
13,0.06899801890055339,0.006795780857284341,0.03066086769104004,0.0015195511579861399,0.5666666666666667,True,False,"{'clf__alpha': np.float64(0.5666666666666667), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.591094478712528,0.6000844900568381,0.5870254108572109,0.592734793208859,0.005456058474802039,27
12,0.0678110917409261,0.007987796110980069,0.03166278203328451,6.732369180426937e-05,0.5666666666666667,True,True,"{'clf__alpha': np.float64(0.5666666666666667), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.591094478712528,0.6000844900568381,0.5870254108572109,0.592734793208859,0.005456058474802039,27
17,0.0671689510345459,0.006037883019140672,0.03256122271219889,0.001189797676707983,0.7222222222222222,True,False,"{'clf__alpha': np.float64(0.7222222222222222), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.5523819231830682,0.566073251740959,0.5543555458554572,0.5576035735931615,0.00604292327485637,29
16,0.06769593556722005,0.006981581400480507,0.032149314880371094,0.0006307006503015781,0.7222222222222222,True,True,"{'clf__alpha': np.float64(0.7222222222222222), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.5523819231830682,0.566073251740959,0.5543555458554572,0.5576035735931615,0.00604292327485637,29
20,0.06228820482889811,0.003655495759059513,0.030408461888631184,0.0007760762025311811,0.8777777777777778,True,True,"{'clf__alpha': np.float64(0.8777777777777778), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.5128434268366786,0.5251746863850852,0.5269901424799251,0.5216694185672296,0.006284773542931075,31
21,0.07928832372029622,0.012858952956420143,0.03413931528727213,0.004847859066018732,0.8777777777777778,True,False,"{'clf__alpha': np.float64(0.8777777777777778), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.5128434268366786,0.5251746863850852,0.5269901424799251,0.5216694185672296,0.006284773542931075,31
25,0.07055290540059407,0.0061014257715482755,0.02452683448791504,0.005458975434079375,1.0333333333333334,True,False,"{'clf__alpha': np.float64(1.0333333333333334), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.4865566891155365,0.49474933549651057,0.48868574208135807,0.4899972555644683,0.00347082261077562,33
24,0.07031663258870442,0.004072996172072846,0.029193798700968426,0.004035734495161584,1.0333333333333334,True,True,"{'clf__alpha': np.float64(1.0333333333333334), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.4865566891155365,0.49474933549651057,0.48868574208135807,0.4899972555644683,0.00347082261077562,33
28,0.06815147399902344,0.007431390970187623,0.03167168299357096,0.0003534591865637713,1.188888888888889,True,True,"{'clf__alpha': np.float64(1.188888888888889), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.4626118329497394,0.47632763628517777,0.4628882307149864,0.46727589998330116,0.0064015386947301476,35
29,0.06305122375488281,6.541741236956445e-05,0.036458094914754234,0.007350065748481961,1.188888888888889,True,False,"{'clf__alpha': np.float64(1.188888888888889), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.4626118329497394,0.47632763628517777,0.4628882307149864,0.46727589998330116,0.0064015386947301476,35
32,0.06373063723246257,0.000912437928857406,0.04118951161702474,0.008103998870884971,1.3444444444444446,True,True,"{'clf__alpha': np.float64(1.3444444444444446), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.44132099240179407,0.4539730858855304,0.44332178908775993,0.4462052891250281,0.005553065023269902,37
33,0.06819454828898112,0.007577927343985798,0.031566460927327476,0.00045884324355479234,1.3444444444444446,True,False,"{'clf__alpha': np.float64(1.3444444444444446), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.44132099240179407,0.4539730858855304,0.44332178908775993,0.4462052891250281,0.005553065023269902,37
37,0.06782301266988118,0.006893527732976681,0.031239827473958332,2.992657086652554e-06,1.5,True,False,"{'clf__alpha': np.float64(1.5), 'clf__fit_prior': True, 'clf__force_alpha': False}",0.42691841566504085,0.43373044367035335,0.4218293199987767,0.42749272644472364,0.004875555408722535,39
36,0.06813844045003255,0.005865955433191939,0.03198091189066569,0.002215855803914743,1.5,True,True,"{'clf__alpha': np.float64(1.5), 'clf__fit_prior': True, 'clf__force_alpha': True}",0.42691841566504085,0.43373044367035335,0.4218293199987767,0.42749272644472364,0.004875555408722535,39
