,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__max_iter,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
68,1.445003906885783,0.36281565169338886,0.04403837521870931,0.0011038859913837843,166.81005372000593,balanced,200,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7285092181926559,0.7109560413011317,0.7084255360261915,0.7159635985066597,0.008931043022919805,10
66,1.9144086837768555,0.7482367746286706,0.045461813608805336,0.0039291463832425025,166.81005372000593,balanced,100,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7285092181926559,0.7109560413011317,0.7084255360261915,0.7159635985066597,0.008931043022919805,10
62,0.4147939682006836,0.045690976476886504,0.044268528620402016,0.0011565115110157929,166.81005372000593,,200,liblinear,"{'clf__C': np.float64(166.81005372000593), 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7285092181926559,0.7109560413011317,0.7084255360261915,0.7159635985066597,0.008931043022919805,10
116,0.5161488850911459,0.14915134143864694,0.03829328219095866,0.0008739325369847315,100000000.0,balanced,200,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7259711782629911,0.7092266657569434,0.712571724015045,0.7159231893449931,0.007235049627089888,16
118,0.37221185366312665,0.029940997764605654,0.03663277626037598,0.0004390497824305114,100000000.0,balanced,500,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': 'balanced', 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7259711782629911,0.7092266657569434,0.712571724015045,0.7159231893449931,0.007235049627089888,16
114,0.3650875886281331,0.006120924096667624,0.037743330001831055,0.0009254587657152989,100000000.0,balanced,100,liblinear,"{'clf__C': np.float64(100000000.0), 'clf__class_weight': 'balanced', 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7259711782629911,0.7092266657569434,0.712571724015045,0.7159231893449931,0.007235049627089888,16
88,1.7880788644154866,0.17214145994674257,0.046706597010294594,0.00022393536875000395,129154.96650148826,,500,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': None, 'clf__max_iter': 500, 'clf__solver': 'liblinear'}",0.7260364228405317,0.7079334111862278,0.7133553567455889,0.7157750635907828,0.007585995590625079,19
86,2.174410581588745,0.4822444326743529,0.046979268391927086,0.002791897709176593,129154.96650148826,,200,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': None, 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7260364228405317,0.7079334111862278,0.7133553567455889,0.7157750635907828,0.007585995590625079,19
84,1.4281610647837322,0.37299370749729144,0.04468202590942383,0.0017400180580138644,129154.96650148826,,100,liblinear,"{'clf__C': np.float64(129154.96650148826), 'clf__class_weight': None, 'clf__max_iter': 100, 'clf__solver': 'liblinear'}",0.7260364228405317,0.7079334111862278,0.7133553567455889,0.7157750635907828,0.007585995590625079,19
104,2.423873027165731,0.8049654446715254,0.04973753293355306,0.0026893406213157737,3593813.6638046256,balanced,200,liblinear,"{'clf__C': np.float64(3593813.6638046256), 'clf__class_weight': 'balanced', 'clf__max_iter': 200, 'clf__solver': 'liblinear'}",0.7259711782629911,0.7085750495160831,0.712571724015045,0.7157059839313731,0.00743971382792265,22
